Descricao;Class
possui graduacao em ciencias sociais pela universidade do vale do paraiba  possui especializacao em gestao estrategica da inovacao tecnologica pela unicamp atualmente e professor de inovacao e empreendedorismo da fatec sao jose dos campos tem experiencia na area de gestao de projetos de inovacao atuando principalmente nos seguintes temas inovacao tecnologica gestao de projetos parques tecnologicos incubadoras modelagem de negocios e captacao de recursos publicos e privados ciencias sociais ;0
possui graduacao em direito pela faculdade de direito de taubate  graduacao em letras pela faculdade de filosofia ciencias e letras de taubate  graduacao em pedagogia pela faculdade de educacao de guaratingueta  mestrado em direito pela pontificia universidade catolica de sao paulo  e doutorado em direito pela pontificia universidade catolica de sao paulo  atualmente e professora de direito e comunicacao e expressao da faculdade de tecnologia de sao jose dos campos direito  letras  pedagogia  direito  law direito  law;0
mestre em engenharia eletronica e computacao  instituo tecnologico de aeronautica engenheiro de infraestrutura aeronautica  instituto tecnologico de aeronautica professor da faculdade de tecnologia de sao jose dos campos das disciplinas arquitetura e organizacao de computadores fundamentos de redes de computadores tecnologia e ambiente e meio ambiente e saude professor da disciplina ciencias ambientais e das aguas da faculdade de tecnologia de jacarei socio diretor das empresas micro assist infomatica ltda e actie ltda com sede em sao jose dos campos experiencia na area de informatica redes de computadores microcomputadores cabeamento estruturado de redes fibras oticas etc engenharia civil engenharia mecanica transmissao e conservacao de energia educacao em energia e meio ambiente ex diretor da fatec guaratingueta ex diretor da fatec sao jose dos campos e ex coordenador dos cursos de estruturas leves automacao aeronautica e projetos de estruturas aeronauticas da fatec sao jose dos campos engenharia de infreestrutura aeronautica estudo comparativo tecnico e economico entre metodos de dimensionamento de pavimentos aeroportuarios formacao de oficiais aviadores  engenharia eletronica e computacao um sistema computadorizado de baixo custo para treinar controladores em radar de aproximacao de precisao  sipar electric engineering controle de trafego aereo engenharia mecanica  mechanical engineering;0
possui graduacao em fisica pela universidade de sao paulo  mestrado em sensoriamento remoto pelo instituto nacional de pesquisas espaciais  e doutorado em computacao aplicada pelo instituto nacional de pesquisas espaciais  tem experiencia na area de computacao com enfase em otimizacao combinatoria atuando principalmente nos seguintes temas problemas de localizacao problema das pmedianas capacitado problema de roteamento de veiculos tendo interesse tambem por programacao orientada a objetos e algoritmos atualmente professor categoria iiid e coordenador do curso de tecnologia em analise e desenvolvimento de sistema da fatec de sao jose dos campos fisica  sensoriamento remoto simulacao do coeficiente de retroespalhamento de radar na banda c para solos nus tipicos do estado de sao paulo geosciences retroespalhamento radar computacao aplicada heuristica de localizacaoalocacao para problemas de localizacao de facilidades computer science;0
possui graduacao em ciencia da computacao pelo centro universitario do triangulo  mestrado e doutorado em computacao aplicada pelo inpe  instituto nacional de pesquisas espaciais  atuou em projetos de armazenamento e disseminacao de dados ambientais no inpe atualmente e professor da etep faculdades centro universitario eniac faculdade inpg de sao jose dos campos e fatec de jacarei e sao jose dos campos possui experiencia na area de ciencia da computacao com enfase em banco de dados e desenvolvimento de sistemas web ciencia da computacao  computacao aplicada esqueletos isotropicos computer science morfologia matematica computacao aplicada expansao por dilatacao e por erosao visando a extracao de esqueletos e contornos em imagens digitais computer science;0
bacharelado em ciencia da computacao coral prototipo de uma linguagem orientada a objetos usando geradores de compiladores java engenharia eletronica e computacao esqueletotipacao um metodo para desenvolvimento de software embarcado baseado em modelos electric engineering software embarcado engenharia e tecnologia espaciais metodo de verificacao e validacao formal em analise estruturada simultanea aerospace engineering;0
possui graduacao em ciencias sociais aplicadas pela universidade do vale do paraiba  e graduacao em administracao  uniderp  atualmente e professor assistente da universidade paulista professor do centro estadual de educacao tecnologica paula souza  atuando principalmente nos seguintes temas globalizacao empregabilidade custos logisticos capacidade produtiva e engenharia dos transportes administracao geral  ciencias sociais aplicadas ;0
possuo graduacao em ciencia da computacao pela universidade de taubate professional coach certification pela sociedade latino americana de coaching especializacao em engenharia de sistemas pelo escola superior aberto do brasil especializacao em formacao pedagogicalicenciatura plena pela universidade metodista de piracicaba e tecnico em processamento de dados pelo colegio idesa sou professor da fatec  faculdade de tecnologia de sao jose dos campos no curso de analise e desenvolvimento de sistemas onde leciono gestao de projetos sistemas de informacao e gestao e governanca de ti e etec joao gomes de araujo no curso tecnico em informatica atualmente trabalho no curso de gestao empresarial da fatec modalidade a distancia como professor responsavel pela disciplina sociedade tecnologia e inovacao mediador online da disciplina de informatica aplicada e coordenador de projetos ead tenho experiencia na empresa gerdau onde trabalhei com gestao de tic durante  anos atuando principalmente com banco de dados implantacao de projetos de sistemas erpsap e desenvolvimento de bi processamento de dados estagio supervisionado engenharia eletronica e computacao tecnologia broner aplicada na siderurgia electric engineering;0
bacharel em matematica aplicada a informatica pela faculdade de filosofia ciencias e letras de itajuba  e mestre em ciencias da engenharia de producao pela universidade federal de itajuba  professor assistente da universidade de taubate e professor associado da faculdade de tecnologia de sao paulo consultor pesquisador de servicos tecnicos especializados da empresa de pesquisatecnologia e servicos desde  coordenador tecnico de producao de software da fundacao de apoio a pesquisa tecnologia e inovacao da universidade taubate bacharelado em matematica aplicada a informatica sistema de coleta de dados analogicodigital engenharia de producao indicadores quantitativos para os processos de ensino aprendizagem caracterizacao metrologica da evasao e repetencia  production engineering indicadores metrologicos;0
mestre em engenharia biomedica pela universidade do vale do paraiba univap  graduacao em ciencias contabeis pela universidade de taubate  especializacao em administracao financeira e auditoria pelo inpg  graduacao em licenciatura em matematica pela universidade braz cubas  especializacao em matematica pela faenquil  financas e controladoria no inpg  especializacao em engenharia aeronautica pela unitau  engenharia de producao  experiencia como professor na area de matematica por  anos na rede publica professor de contabilidade empresarial contabilidade basica  analise de balancos e contabilidade gerencial calculo i calculo ii introducao ao calculo calculo para aeronautica pela fatec e estatistica matematica financeira matematica aplicada pela unip universidade paulista etep faculdades atualmente trabalho na fatec faculdade de tecnologia de sao jose dos campos licenciatura em matematica  ciencias contabeis  engenharia de producao  bioengenharia a comparacao entre microfone de eletreto e um ldr como detectores de luz num sistema de espectroscopia otica  ldr microfone de eletreto;0
possuo mestrado em computacao aplicada pelo instituto nacional de pesquisas espaciais pos graduacao em desenvolvimento de sistemas de informacoes pela uni santanna e graduacao em tecnologia em processamento de dados pela faculdade de tecnologia thereza porto marques  e licenciatura em informatica   atualmente sou professor na fatecde sao jose dos campos fatec  de jacarei  sp e coordenador de curso na etep jacarei tenho experiencia na area de ciencia da informacao com enfase em teoria geral da informacao atuando principalmente nos seguintes temas seguranca da informacao politica de seguranca desenvolvimento e manutencao de sistema e organizacao da seguranca tecnologia em processamento de dados sistema de controle de cursos concluido computacao aplicada novos algoritmos para um problema de roteirizacao de veiculos com janelas de tempo computer science;0
tem graduacao em letras pela universidade do vale do paraiba  especializacao em literatura brasileira pelo instituto santanense de ensino superior  mestrado em lingua portuguesa pela pontificia universidade catolica de sao paulo  doutorado em comunicacao social pela universidade metodista de sao paulo  e posdoutorado em comunicacao social pela universidade metodista de sao paulo  com experiencia na area de letras e enfase em letras e comunicacao atua principalmente nos seguintes temas literatura brasileira cultura popular cordel e xilogravura jornalismo folkcomunicacao cafe monocultura monteiro lobato luiz beltrao crencas habitus comunicacao dos excluidos literatura da periferia literatura feminina tambem atua na area de pesquisa em novas tecnologias e novas linguagens midiaticas com uso de ti e tc letras  lingua portuguesa discurso sociedade cognicao intertextos e interdiscursos na representacao linguistica da monocultura do cafe no vale do paraiba language comunicacao social marcas folkcomunicacionais na obra literaria de luiz beltrao comunication;0
